,Tweet,label
48,"It's stupid to go online online because there are no students, not students, it's obligatory to be good, don't students understand teaching and not students respect",-1
49,coronavirus endures month of year appears strange ordinary teaching home online media sharp level physical gathering online gathering,-1
50,"pre-certification class in the field of film production, let's join the online teaching class, pre-certification of film production, online show, class, smart learning, cultured, sahatica, cultural heritage",1
51,"prevent the spread of the corona virus, be active in teaching and teaching package a online students, cooperate with spnf skb, batam city, the covid pandemic does not prevent students from being active",1
52,"Tomorrow, I will be online at am, I intend to teach at night to make you think, thank you, it breaks my mind",1
53,"I'm afraid that the lecturers are less active in teaching via online videos, so the reason is because the students' quota runs out quickly if they want to go to college, the assignment is terosss",1
54,due to covid teaching online from home growing watermelon class tbsm fruit kbm school not really happy growing fruit class yard june school,-1
55,lucky to teach online online teaching site,1
56,"where to teach a pandemic because of the stop of online teaching, the gusdurian network, Ayomondok, latepost, in Japan, Sooko, Mojokerto",-1
57,"people who teach online, as a result, the vegetable stall is crowded a little late in the morning, the stalls are jostling",-1
58,I guess online teaching santuyji let's forget what to eat,-1
59,"After cleaning my cellphone, hundreds of photos, online teaching and learning videos, yesterday were so satisfying wkwkwkw",1
60,active online self-teaching early childhood insanbudiluhur nsanbudiluhur bal kindergarten b,1
61,"Humans who teach listening type are tortured, distanced online teaching methods are required to read handwritten summaries for regular class assignments, I've never really heard of you",-1
62,"Just give ppt to teach independently and then online question and answer is effective, in my opinion",1
63,"Lecturers teach face to face, don't understand online like this",-1
64,"I'd rather the elf esa vacuum to be active offline, which year to teach students to be active, to teach students to be active, to teach students to be active offline make it make sense",1
65,"if online school is maximum, the teacher must be on standby, the guardian's cellphone, sometimes sending assignments until late at night, sending parents complaining about teaching children",-1
66,"What is the solution for teaching people who are difficult to access? Can the extreme measures taken by teaching all over Indonesia to be able to teach online, not about telecommunication infrastructure, but a framework paradigm that must be ready to reduce inequality",1
67,The Governor of DIY Sri Sultan Hamengku Buwono X broke up and educated like a home online teaching and learning process.,-1
68,"repost malili, south sulawesi, indonesia, safe school, cadres, beware, participatory, online skpp, officially launched in all provinces in indonesia, teach",1
69,"The online teaching signal is okay, but the laptop support doesn't match with the online app, ex google meet, because it's old to buy, bro, I've run out of money from my campus to pay for it",1
70,"Mas, the minister has given wisdom to his parents, he is worried that his children will be exposed to the corona virus, but still teach online bdr",1
71,"fortunately, I didn't know the material and caught the online lecture, why did the campus meet a friend to play with?",1
72,many active online the benefits of distance teaching technology,1
73,"long online teaching, please understand, those who are tired, eyes, heart, soul, body, g, just teach it, it's random",-1
74,"cm guys, it's really sad to study online, lecturers, doctors, bain, teach using zoom.",-1
75,"The sad thing is that being online is like an online assignment, I'm really confused about online teaching",-1
76,"prokomkukar pal, kim web, prone to online teaching, at home, teach at home, yes, home test, home test technique, za cbt",1
77,I'm not emotional because of online teaching,-1
78,tri help me merdeka teach if it's a bomb to collect assignments it's not worth it online teacher's terror v,-1
79,june free by learning online tips tricks student president please check ig learning online for registration and more information webinar class infowebinarfree webinarfree seminar,1
80,please online teach online fasting school assignments don't do too much ahh,1
81,"Pattimura University students are active in the free access package, Ilmupedia Unpatti, support the online portal teaching process, let's join the photo video challenge, Ilmupedia",1
82,self driving for teacher creates millennial online teacher home teaching patterns,1
83,"Friday, stay at home, take care of each other from the headline, the education office, ponorogo district, the regent of ponorogo teaches the long house ppdb online online system kadindik",1
84,"even semester test, hello, fpk people, online lectures, even semester exams, don't forget to teach me to stay healthy, I'm confused about the material",1
85,"don't follow the online teaching system, there are teachers who follow the offline system, it's a feast",-1
86,repost happy school cadres beware participatory online skpp officially launched provinces throughout Indonesia teach to add knowledge to Ramadan,1
87,"Yes, I love the ingredients, let me teach you how to cook, so that you have cravings, just make it, okay, just order online",1
88,"IPM IPM cadre friends, don't go through the online review of Ramadan, the Muhammadiyah website, the chairman, discuss independence, teach the Independent Campus, look at IPM Muhammadiyah, Ramadan at home, Ramadan Kareem",1
89,"the chancellor helps online facilities hello km trunojoyo online lectures keep strong and stay safe, yes, in order to support the online teaching process of the corona pandemic, trunojoyo university",1
90,"not as effective as you used to live, teach face to face, change online, sometimes confused, very stressful, not online, teach the bright spot",-1
91,"Since I've taught online, I've never taught really seriously, angji, it's better to go to school if it's gin",1
92,"like it's really annoying bro, he has disappeared from online teaching, like when the UTs co class has gone to uts, there is no response from the samsek until now, he has finished his material, eh, he sent the material directly which must be paid in installments",-1
93,"dendrology class holds online guest lecture, dr ichsan suwandi s hut mp itb host atus syahbudin s hut m agr ph d don t miss it the clock is sure the internet connection is smooth, don't pass safe teaching",-1
94,know covid spreads prevent teaching online teaching methods video by,1
95,active teaching diy sense of security online method source,1
96,"advice guys, live online teaching apk is a good one, right?",1
97,"people teach popular online lectures, online schools, webinars, online classes, the benefits of staying at home, you know",1
98,"I'll report tomorrow, hopefully the value will be amen, I won't teach online gin",1
99,"Cuy tomorrow I'll teach you online, you're crazy",-1
100,"The smell of lifting has also been affected by the corona virus, aka how does it feel if until the online teaching semester yesterday, my teacher just gave me an assignment, there's no material for my grade, there's no study tour, cm if the plan is like this, it's boro boro",-1
101,"Pat's schedule is not an online system, seriously, while teaching the online system, tbtb, if the offline system is so short, it's short after Lebaran, teaching PSBB is long, but why does school come in",-1
102,"If you need help with online teaching support, you are already in college, please check, thank you",1
103,no online teaching area,-1
104,at home and online school children really participate in the free form of teaching children qta human models meet the teaching mood according to nature or not because school is school hours,1
105,Farmers quarantine online lectures online teaching at home try to share the version saidusdhumanis sadhargaksadarconsciousstudentswasadhar driyarkaramuda sued,1
106,"apply the online net method teaching system at home, students need special different students before studying from home gorontalo covid",1
107,Teaching online for early childhood often has problems with internet access,-1
108,"buy a cellphone to teach online now because my cellphone is broken, buy a quota for my students who are difficult to teach online, help my sister in college in terms of the cost of helping parents, etc.",-1
109,"for the sake of corona, sman broke up the online teaching process",-1
110,"internet village home teaching program pandemic active teaching and learning behavior online remotely based on data from the Ministry of Communications and Informatics, many villages have internet, steps to take",1
111,"try your tutor again, don't search, just search online peubi, thn, I'll teach your tutor the tribal names except for sentences",1
112,"sister is sitting in school, good benefits from home teaching, can learn about the environment, family online, friends, make a living outside, please take care",1
113,"I swear I'll see people defending, borrowing cellphones, online teaching people, buying and selling tower quotas, looking for signals for the fall semester",-1
114,"it's true that the signal village is difficult, the city oh yes, my village is not online, no, parents, children's cellphones, teaching from magazines to completion",1
115,keep the spirit of online teaching,1
116,"don't strike, teach online, quota transfer number, sorry, no quota, hehe, I mean pulse k, sorry for unsku, unsaprilmop",-1
117,genbi smart genbi greetings saturday june like genbi smart aiesec in untan genbi kalbar members teach english online genbikalbar online,1
118,"I just need pliers that don't fit the normal new normal, teach online",-1
119,"Ahead of the new normal, the residents of the city of Malang choose schools not to open the community, please be active in teaching online, the house of the covid pandemic is responsive",1
120,"Congratulations Kartini, Ms. awat, who is on duty at night, single emergency room, who goes to work. The daughter of a female worker who goes to work, is a lecturer who teaches using zoom, online classes, Ms. gas station, morning shift",1
121,"If the student staff collab, it means that the teaching system will find a middle way, start Indonesian agencies, find it effective, like online learning.",1
122,"stayathome tired of buying or buying online, met online video calls, while teaching online, I haven't got my quota right",-1
123,"quota facilities for online teaching cut tuition fees, lecturers are more competent to teach, not from clear detailed task materials",-1
124,"really, don't throw away the test card for class x class xii, save it, it's a shame when i was in high school, i was really desperate to keep my notebooks from middle school intact, i thought it would help you to teach more online",1
125,"the kid from the village, kola class, is on holiday, then enters January, the class says what's up with this child, tbtb class, sarip, warkop, kek, it's paradox, teaching covid, mendikbut, can't teach online",1
126,"Congratulations to the Bawaslu companions in Labuhanbatu, and the cadre school to watch out for participatory skpp online, enthusiastic to teach, Bawaslu friends, Bawaslus, kpp. online learning from home.",1
127,solution ti kpai kedah kmh saurna min kumargi teu aya solutions gening online teaching students hp good internet connection when entering school schools are ready to arrange new normal jabar oge schools lack classrooms,1
128,"don't be su ul adab, no price for injury, heartache, thank you, teach online, thank you, lecturer, think, thank you, lecturer cares",1
129,"Dear teacher, Mas Nadiem, for tips, students are comfortable teaching online",1
130,"campus children understand the term online, teach online, the value compared to elementary, middle and high school is effective, students are genuine, not very effective",1
131,Hardiknas teaches online happy sad happy at home teaches relaxed snacking drinking sad,1
132,"the impact of the covid pandemic on Indonesian students, the method of distance teaching, online media, the spirit of teaching, being a school, teachers, happy national education hardiknas",1
133,"The point is, I don't care about the teacher in the shadow teacher class. I feel that it's complicated. The teaching process for moving online requires a quota of capital to stay connected to Walmur school.",-1
134,"To go down, I don't pay millions of benefits, I don't use a toilet class lab, I collect prayer rooms, ITB facilities, I don't teach full online",1
135,"Face to face, ask for work, if you're online, ask a friend, it's hard to be busy with work, I mean cheating, lots of kids don't teach parents, you have to ask",-1
136,"Strange point infectious teachers are required to have school teachers leave the house, why do schools guide students to teach online at home",-1
137,"mat, interest in online chapters, online teaching is not conducive to physics",1
138,"there, I want to teach online tvri, but the tvri channel doesn't appear, only the tvri logo appears big, dear",1
139,"the meeting goes up to class, hopefully the results of the semester online teaching will be a blessing Friday",1
140,"avoid corona, teach online, when you go online, you get mentally disturbed, kill it, please, ma'am, just give the robot a minute task, ready to give it right away, be sane, man, humanity, go to heaven",-1
141,"Yes, I teach online, open the skip link, open the intention to open at night, sleep, intend to open it after sahur, sleep",1
142,"Look for an effective method of teaching mechanics. Next normal, teach interpreters who need to practice piano, the tutorials will teach online mechanics to the fullest.",1
143,"Don't like you teaching online, okay, let's just give up and see what happens next",-1
144,"The pandemic demands that all-online communication be forced to sell, fortunately I can teach you to listen",-1
145,"online classes are bored with face-to-face comparisons, I mean yes, the interaction in the comment column, chat group chats, sometimes it's messy, the comment column, the teaching column, the youtube comment column, facebook",-1
146,effective online teaching idntimes,1
147,long online teaching june basic circular letter number high school education ss education department of south sumatera province official long active teaching,1
148,"providing online materials is not simple, lecturers really think about how a good facilitator can teach a good religious student to be in good condition",1
149,"light burden of internet quota, online teaching media is difficult to help teach letters to ministers",-1
150,"oh my god, i'm not ready for uni samsek online lectures make my brain don't want to ask for cooperation, just eat and sleep, no teaching and learning",-1
151,"ok, look online, what's wrong with usp online is easy, aka searching, the value of w is still bad, if you teach, you get a good one, if you don't get it, it means you are not lucky, God wants you to get on the bus, you know",-1
152,"online lectures in Indonesia miss teaching classes, miss hanging out with friends, the rest miss sending pocket money, the rest of the money for UKT",1
153,online smt kek teach morsin catechism or bbt yes anying,1
154,don't think about online assignments - learn online and take care of mboyak mbodel,1
155,"demand online teaching honorary teachers are forced to look for free wifi facilities, honorariums don't buy internet data cnnidnewshour",1
156,"it's difficult to teach online later, true sweet stories teach classroom boundaries, achieving knowledge always takes struggle . . . . . . . . . . . . . . . . . . . . . .",1
157,"Men, my former BTA tutoring book is poor, hhh because my intention is to teach boarding house, so I brought the book, eee Coroni, I'm sorry, I don't bring any books at home because my campus hasn't issued any online lectures yet",-1
158,online teaching wisdom hyung really ask online feelings or not,1
159,"great for finishing, don't like group work, get a group, lazy, lazy, fortunate to teach online, not group work, individual assignments, not groups",1
160,"news about teaching activities still online until last year automatically sms home, I'm in, I'm already in prakerin, I'm already working wtf",-1
161,protest online teaching children busy playing social media,-1
162,"miss, if you are minister of academic calendar, change the online teaching system, ehehe, it's new normal, huh?",-1
163,"teaching at home online gin teaching still makes you tired, tired just imagine the task of piling up material, don't understand the grades, you have to be good, gosh, school is stressful, isn't it, friend",-1
164,"The student's parents complain that online teaching is done online, YouTube is using up the quota, oh God, ma'am, just open YouTube for a minute. Don't even teach the kids in the video, yesterday they complained because they didn't teach online. The busy parents went wrong",-1
165,"I hope self-taught knowledge is an online adaptation source, I hope knowledge trains skills",1
166,"open a link school with the economy, walk with online teaching, quotas help teachers' cellphones, students who buy them",1
167,"sch tips for increasing online teaching grades, how do you feel afraid of not understanding the material, thank you in advance",1
168,"class info, yes, in the afternoon it's vulnerable to the Indonesian Academy of Sciences, invites you to join the online lecture, it sounds good, yak zoom-pa via zoom wohoo, let's have a meeting in the afternoon, cusss",1
169,"Teaching online is really complicated, just like an online boyfriend",1
170,"school sch runs online teaching or not, the school just gave me an assignment, it's okay, bro, just teach it, I'm confused what class will be",-1
171,"fix your brain, teach it, then connect it when you go online it makes your brain stupid",-1
172,online school test forced students to stay difficult to signal at home ignoring the instructions for home teaching,-1
173,I don't know online lectures or I'm stupid,-1
174,wrong pain that occurs online teaching holiday amnesia amnesia forgot the date forgot to take a bath forgot to forget to eat,-1
175,"teaching online aring online isn't funny, isn't it really dry, isn't it hehehe",-1
176,"home-style online learning model, village champion likes to advance, likes to advance, sometimes online teaching forms are difficult, convid try to invite the champion's children to like to go forward and cook jelly candy after practicing at home",1
177,"I'm an idiot, I know how to teach, look for lecturers' material, I just need to be absent and give assignments online, it's better to go to college bgsd",-1
178,"how do you teach math if you're online and offline, you don't want to go online",-1
179,Thank God it's easy to teach online,1
180,good a lot tired of mem one bored teaching online,-1
181,"Ojo has a day off, lek kon teaches the online system is short-sighted, suddenly blind to technology",-1
182,school age children are based on the estimated million children sd million children slp million children slta a total of millions of children aged sd-high school half children who have the potential to teach at home cannot engage in online activities with older children,-1
183,"online teaching is okay, it's really easy, middle school and high school students are used to cell phones, not remote ones hehe",1
184,"Guiding is mandatory or not, I'm obliged not to be absent, of course it's flexible. You imagine, group class students, the hours that I sincerely interfere with online teaching are optimal hours.",1
185,shout the command for free quota for online teaching Kemendikbud allows boss u to buy quota for student teacher implementation online interaction with wa need student quota to buy cellphone,1
186,yes teach online,1
187,"I feel like I'm burnt out just teaching my parents' students, my teaching session about online teaching management is getting more and more crisis",-1
188,"school holidays, online teaching is like school",1
189,"millennial lecturers, millennials who are bored, realize that students don't teach, just give slides when online lectures stop, quizzes, quizzes, before exams, grades have been collected",-1
190,"Thank God, the Kuansing Education Office teaches online, simultaneous trials tomorrow, the teacher, watch out, the house is busy, teaching Mrs. students, how to use what app, I hope the lks don't teach the corona holiday",1
191,"Mas minister, free quota for students, thank you, teachers, check the mark for free quota, you can teach online, please students who don't buy cellphones, look for a solution, sorry",1
192,"w broke up if until the semester was really online, the main thing was to teach bakor",-1
193,"One Indonesian private teacher, PGSI, Banyumas Regency, mentions the potential for failure to actively teach online, forcing students to graduate from elementary school, online learning, online learning",-1
194,active online self-teaching early childhood insanbudiluhur bal,1
195,"The semester is already good, the grades just need to be maintained, let's be enthusiastic about teaching online methods, just give up",1
196,"the internet quota is in a gin condition, teaching tools for the school office are ready, if that's the case, it's appropriate that the nephew who is the teacher rides the wifi online kbm stall",1
197,"research students who are careful online, I'm lazy and lazy, I already know that at night it's late until the morning because I don't know how to teach, aka I don't enter my brain which is taught by the lecturer",-1
198,"Student lecturers have adapted their teaching when online teaching conditions are cool, don't worry about campus",1
199,wrong nostalgic campus video knightairlangga unair newnormal studentsunair learning online alumniunairairuniversityairlangga uas online pandemic newnormal misspassing out longingdiscussion,-1
200,"Just play at home, you know, if you invite Rara to play homeschooling, teach actively via online, on holiday",1
201,online online class is here to challenge the unique pull is not ready hlkompasiana teaching system,-1
202,"let's teach a language online for free, yes, it's free, the class is here on Sunday, you know, it's easy, the steps to choose a teaching language, choose",1
203,"the spirit of online teaching sometimes makes the mmc crew bored with online lectures, bdr teaching at home, it seems that the teaching pattern like it or not like it doesn't like it, sometimes it's trouble",1
204,"Announce homeschool students via online, not students, Miss, save the number, I'll make a class whatsapp group, so teach and communicate via student group, ma'am, no quota for class iv b",-1
205,"I hope that corona will go away soon, don't you know it's confusing to teach online, sis",1
206,"happy semester test, Indonesian students, there are problems with the teaching forum",1
207,Gowa regency government stops online teaching and learning activities,-1
208,"Stay at home, don't be bored, because your best friend, Munasprok, takes part in online lessons in the museum's photography class, the museum's collection, with the theme of knowing photography, Tuesday May WIT",1
209,"if it's online, the intention is really prioritized, nder tbh, it's really nauseous to teach the situation when watching a tutoring video, when the material is difficult, ask the subject teacher",-1
210,"it's a shame if you passed the pkp seminar test via online zoom meeting, struggling to teach in the middle of the covid pandemic, thank God I passed, proud to lift it up with love, pusdiklatbps pkp",1
211,pick up unbk cancel teaching home us online online upk diploma pdf split video call undi delete stayathomesavelives,-1
212,happy national education day teacher situation brother school forced to teach online media aware of learning which media what education day,1
213,"the covid dilemma, talk about the wa group, the school is a, if the teaching process is the online system, how is it all, tiktoan",-1
214,a pandemic appeared his online lecture I don't understand the online lecture system because the teaching seconds of IBD UTs are like,1
215,teacher school online teaching methods parents command data package no subsidies coronavirusindonesia,-1
216,"teach home, elementary school and land, tidung, internet pulse, know bdr, road, state primary school, summit, online mode, online, good video conference, whatsapp group, google classroom",1
217,yes ready for online teaching rpp in december,1
218,"I try to test online and watch the wrong TV channel, teach at home and teach class to class, etc. Hmmm, it's not a draw",-1
219,"the task of piling up quotas collapses, the task is done, it's over, I'm buuuu duhhh kids teaching online darting",-1
220,"online teaching requires quotas, parents have been laid off, forced to break through to regulate local government, in fact, to die, candidates continue to pancasila air, minister of education and culture, students",-1
221,"collecting scholarships for the district government, students who are studying in Jember, are aware that the pandemic is difficult, where the online tutoring process is",-1
222,"teaching online, about playing on a cellphone for college assignments, hmm, said Wolaaa, Wes Gerang, or not, I'm excited, I'm working with Kerjone, just dolan, keep on doing it. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",-1
223,"let me teach online, instead of giving motivation so I'm enthusiastic about teaching, tell me if you don't like teaching",1
224,"iyo ki bastard, it's really better if granny is online teach me this online is a weird assignment",-1
225,"Online lectures depend on the intention of the lecturer, if the lecturer doesn't have the intention, the students automatically get confused about teaching conditions or lie down in turns when they give you or don't think about you, what are you doing?",-1
226,"health, youth teaching online, wrong alternative to change the class meeting to spread covid, teaching week online system, obstacles arise, you know",-1
227,"Do you use the state defense fund if you don't use it, you pay for your child to buy a cellphone quota, teach online full day, sorry for the parents affected by the pandemic issue.",-1
228,Worship helps parents online test time helps teach brother to clean the room watching youtube ka icis,1
229,"teach, listen, it's hard to know online at home, let's just try to watch it, I'm sorry I didn't watch last year",-1
230,"frienddikbud efforts to level student learning outcomes in the field of literacy, numeracy, inclusive education, Ministry of Education and Culture, innovation, there is an online talk title for special teaching partners to discuss",1
231,"no campus facilities for direct contact costs for teaching and learning process facilities for teaching practicum online lectures assignments for quota subsidies to go down to the ministry of religion, radenintannot silent",-1
232,guarantee the quality of students to challenge the era of online teaching,1
233,"parents are going to come down immediately for online teaching on the student side, the issue of people's hooks, please hurry up and safe country via social media",1
234,"Ministry of Education and Culture orders that Google Classroom is wrong, the online teaching platform is hooked, urges to teach at home to prevent the corona virus pandemic, covid Indonesia, reports",-1
235,Tomorrow morning the metopel exam will be scary because I don't really teach online lectures huhu,-1
236,"those who have to take care of the hospital leave children at home who cannot accompany teaching and cannot attend preschool or kindergarten graduation online. Parents who can choose to stay home, plan to separate children who are in kindergarten and come to school, take a photo together",1
237,"There are many campus students from many areas so they are worried that they can spread out students quickly, the online teaching process is more digestible than elementary to junior high school students.",-1
238,"the story of being active, teaching lectures at home, being honest, first time studying online, shocked, confused, piled up assignments for the week of lectures, added",1
239,"Seriously asking, guys, online school, are you serious, aren't you serious if you download the material online, I'll ignore it if I don't read it, but I'm already really lazy, I swear, guys, I won't continue to teach online like this. . . . . . . . . . . . . . . . . . . . . . . . . . .",-1
240,"Wow, the teaching and learning process continues, Diskominfo Kukar, the idea for online teaching, Covid",1
241,make a joke,1
242,"the importance of the role of parents in the development of children, parents support active teaching of children, online teaching platforms, game-based education development platforms",1
243,"hello friends, smart friends, national education framework, the Ministry of Education and Culture, the Ministry of Education and Culture, holds online quizzes, sapadrb, teachers, ambassadors, Indonesian teaching houses, let's register",1
244,"Oops, I'm a little nervous when I enter, it's rich, online teaching, face-to-face alternative, no Sunday school, X remaining home teaching",1
245,igi karawang online teaching optimization seminar free era teaching saturday june,1
246,week wfh teach online online physical distancing hopefully quickly stay home stay safe don't forget to wear a mask if,1
247,"I'm really curious, I'm in the sixth semester, I'm already in college, I'm playing online, I only need to log in, I'm just testing, I'm teaching, I'm getting simaster scores",1
248,"It's like teaching online now, isn't it lazy, but if it doesn't, the grades drop",1
249,"Please, lecturers, it's really the student's job to teach life, not just about online lectures at home lectures",1
250,"teaching online is not stable, please pay attention to the situation",-1
251,"it's good, elementary school children don't need a demo to get online teaching rights",1
252,"teaching via chat is actually not effective, the factor is not lecturers, teachers, facilities support the online teaching system, okay?",1
253,"buy, read a special online discussion book, read, curious, directly accompany, teach how",1
254,"Elementary school teachers in village students do not access online online teaching, teaching intake likes home visits for students who do not access online",1
255,"watch live streaming, open online skpp, Riau island region, friend, Bawaslu, Riau Islands, pass online skpp, congratulations, congratulations, teach online skpp, tough cadres, beware of milu",1
256,the effect of online lectures to the influence of teaching motivation wkwk,1
257,"I think the teachers teach the village, the signal is okay. Support makes parents sad. Students borrow friends' cellphones. Their cellphones don't support online teaching",1
258,students are a big obstacle to online teaching covid,-1
259,"thanks, the online pandemic child is not optimal, it's not teaching, the TV program is not good, the child is bored with the game, he doesn't know kites",-1
260,"there is an evaluation of online teaching at home in the covid era, it is effective, let's get ready",1
261,"behind the corona outbreak, actively teaching online the positive negative side of creative students, assignments, benefits of social media",1
262,"okay, it's time to teach until it's over because online will be starting again excited",1
263,"teach, of course, teach via online, not Monday, June, therapeutic office, wio, I'm not a shortcut, think it's a kid, please guide if your parents are wio",1
264,"the semester is not sad, yes, because online lectures pile up assignments, but it's complicated because a lot of people jump directly into the campus teaching system, in case u want the detail just dm me",1
265,"Friends of Pauddikmasdiy are like online tutoring, partner teachers, like early childhood education, like home teaching, active in collaboration with the Directorate of Early Childhood Education, BP PAUD, Dikmas, DIY",1
266,"if the children of the boarding school teach online, mas, call the students, can't work, play the cellphone, look for pairs",-1
267,"teach online and offline, the polemic of porridge, stir, don't stir or not",-1
268,assalamualaikum wr wb good morning gama friends based on the circular letter of the head of the education and culture office of the city of Tegal number on the date of may held active teaching and learning online school holidays hopefully Eid meet sdihsaniyahgama,1
269,opinion on the problematics of online teaching online learning,-1
270,online teaching online long assignments auah yookk shake yookkk,-1
271,romantic painting stories online teaching teachers read write comments yes pentigraph gaptek short stories online learning teacher pentigraph,1
272,"Yep, I don't believe that students understand the new normal. They like to hang out, it's not clear if they actually study in a building, don't students teach online in the middle of a building, they don't know effective people",-1
273,"Schools don't open a partial basis for the pandemic zoning, it's not good, the online face-to-face teaching process has different results",-1
274,"educate, lets see homescholl indo, it's taboo, I think teachers are independent online high school ok Kindergarten-elementary-junior high schools are not ready yet, the online system for teaching at home doesn't play while the brain keeps silent as a result",-1
275,"keep looking for knowledge, bismillah online, okay, change it, don't just look at the lecturer, don't watch the teacher",1
276,"teach the duolinggo application, but it's more convenient for youtube to open an icha ayu account, he ex teaches French which now still opens online classes a few times there is a free trial class",1
277,"It's okay if the online person gets copied, I was worried if I teach campus",-1
278,"online until I forget the kinds, teach me ctrl c ctrl v",-1
279,"June Aqil RBA's teaching room is like active discussion ready for online Eid al-Fitr friendship, WFH work from home scheme, advice from the management board of the committee",1
280,poor people drop out of school online teaching load u buy cell phone quota,-1
281,"It's like you don't have to teach online, you can cheat",-1
282,"please, the price of your teacher is willing to teach the online lecture feature, it's so sad, don't you know, seeing the old one, I'm excited to learn the online teaching site apk",-1
283,"student life hey students enjoy online lectures, tug of war makes you dizzy, busy googling, this is Indonesian google science ilmu",-1
284,online teaching method says sad holiday,-1
285,"online lectures on the pandemic of the empty online teaching generation, lecturers, meetings, red dates, etc., it is undeniable that online teaching discussion groups",-1
286,"our very last, teach together, lift up, it's a shame to study online, thank you lg",-1
287,"it's time for smtr, if I'm not mistaken, give a picture of a modern teacher who hopes that technology can benefit from teaching and learning activities, really worth it as an alternative to online learning during this pandemic",1
288,"internal is too heavy, added external, looks like a very stupid one, don't know how to do the task, grgr order online teaching but no material goes into the Matkul tubes, it's very difficult if you don't explain directly I'm stupid",-1
